group_id,participant_id,response_value,stimuli_presented,stimulus_files_presented,block,item_base,item_type,condition,nonphon_err_type,phon_err_details,answer,second_attempt_used,trial_num_sequential
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,The question does NOT need any corrections.,fill_01_new,what_letter_in_the_latin_alphabet_corresponds_to_the_greek_letter_alpha_fill_01.wav,Error_Detection,fill_01,filler_other,NA,NA,NA,a,No,1
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,Alpha,fill_01_new,what_letter_in_the_latin_alphabet_corresponds_to_the_greek_letter_alpha_fill_01.wav,Error_Detection,fill_01,filler_other,NA,NA,NA,a,No,1
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,"The question does NOT need any corrections, but I don't know the answer/ I don't understand what the question is asking.",Second_attempt|fill_01_new,what_letter_in_the_latin_alphabet_corresponds_to_the_greek_letter_alpha_fill_01.wav,Error_Detection,fill_01,filler_other,NA,NA,NA,a,Yes,1
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,NA,Second_attempt|fill_01_new,what_letter_in_the_latin_alphabet_corresponds_to_the_greek_letter_alpha_fill_01.wav,Error_Detection,fill_01,filler_other,NA,NA,NA,a,No,1
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,The question needs to be CORRECTED.,targ_01_B_new,for_what_pink_ice_cream_flavor_wheel_companies_do_their_best_to_use_real_fruit_targ_01_B.wav,Error_Detection,targ_01,target,phon_err,make vs. other verb,/ɪ/ -->  /i/; will/wheel,strawberry,No,33
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,The last word in the sentence sound like 'food' or 'foot' when it should be 'fruit',targ_01_B_new,for_what_pink_ice_cream_flavor_wheel_companies_do_their_best_to_use_real_fruit_targ_01_B.wav,Error_Detection,targ_01,target,phon_err,make vs. other verb,/ɪ/ -->  /i/; will/wheel,strawberry,No,33
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,I’m good — skip to the next question,Second_attempt|targ_01_B_new,for_what_pink_ice_cream_flavor_wheel_companies_do_their_best_to_use_real_fruit_targ_01_B.wav,Error_Detection,targ_01,target,phon_err,make vs. other verb,/ɪ/ -->  /i/; will/wheel,strawberry,No,33
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,NA,Second_attempt|targ_01_B_new,for_what_pink_ice_cream_flavor_wheel_companies_do_their_best_to_use_real_fruit_targ_01_B.wav,Error_Detection,targ_01,target,phon_err,make vs. other verb,/ɪ/ -->  /i/; will/wheel,strawberry,No,33
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,The question does NOT need any corrections.,fill_02_new,what_organ_is_often_associated_with_being_eaten_by_rotting_flesh_monsters_also_known_as_zombies_fill_02.wav,Error_Detection,fill_02,filler_other,NA,NA,NA,the brain,No,2
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,Brains,fill_02_new,what_organ_is_often_associated_with_being_eaten_by_rotting_flesh_monsters_also_known_as_zombies_fill_02.wav,Error_Detection,fill_02,filler_other,NA,NA,NA,the brain,No,2
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,I’m good — skip to the next question,Second_attempt|fill_02_new,what_organ_is_often_associated_with_being_eaten_by_rotting_flesh_monsters_also_known_as_zombies_fill_02.wav,Error_Detection,fill_02,filler_other,NA,NA,NA,the brain,No,2
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,NA,Second_attempt|fill_02_new,what_organ_is_often_associated_with_being_eaten_by_rotting_flesh_monsters_also_known_as_zombies_fill_02.wav,Error_Detection,fill_02,filler_other,NA,NA,NA,the brain,No,2
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,The question does NOT need any corrections.,targ_02_C_new,what_term_refers_to_armored_men_who_enjoyed_to_carry_medieval_swords_that_clash_in_combat_targ_02_C.wav,Error_Detection,targ_02,target,non_phon_err,infinitive vs. participle,/ʃ/ --> /s/; clash/class,knights,No,34
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,Knights,targ_02_C_new,what_term_refers_to_armored_men_who_enjoyed_to_carry_medieval_swords_that_clash_in_combat_targ_02_C.wav,Error_Detection,targ_02,target,non_phon_err,infinitive vs. participle,/ʃ/ --> /s/; clash/class,knights,No,34
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,I’m good — skip to the next question,Second_attempt|targ_02_C_new,what_term_refers_to_armored_men_who_enjoyed_to_carry_medieval_swords_that_clash_in_combat_targ_02_C.wav,Error_Detection,targ_02,target,non_phon_err,infinitive vs. participle,/ʃ/ --> /s/; clash/class,knights,No,34
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,NA,Second_attempt|targ_02_C_new,what_term_refers_to_armored_men_who_enjoyed_to_carry_medieval_swords_that_clash_in_combat_targ_02_C.wav,Error_Detection,targ_02,target,non_phon_err,infinitive vs. participle,/ʃ/ --> /s/; clash/class,knights,No,34
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,The question needs to be CORRECTED.,fill_29_new,in_the_cycle_of_seasons_what_season_comes_after_dinter_fill_29.wav,Error_Detection,fill_29,att_check_err,NA,NA,NA,"Spring (Winter, sound sub that's not related)",No,29
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,"spring, the last word is pronounced 'dinter' when it should be pronounced 'winter'",fill_29_new,in_the_cycle_of_seasons_what_season_comes_after_dinter_fill_29.wav,Error_Detection,fill_29,att_check_err,NA,NA,NA,"Spring (Winter, sound sub that's not related)",No,29
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,I’m good — skip to the next question,Second_attempt|fill_29_new,in_the_cycle_of_seasons_what_season_comes_after_dinter_fill_29.wav,Error_Detection,fill_29,att_check_err,NA,NA,NA,"Spring (Winter, sound sub that's not related)",No,29
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,NA,Second_attempt|fill_29_new,in_the_cycle_of_seasons_what_season_comes_after_dinter_fill_29.wav,Error_Detection,fill_29,att_check_err,NA,NA,NA,"Spring (Winter, sound sub that's not related)",No,29
Group_2,918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98,The question needs to be CORRECTED.,targ_03_D_new,which_scottish_actor_first_played_james_bond_wearing_guilts_to_red_carpets_when_he_had_32_years_old_targ_03_D.wav,Error_Detection,targ_03,target,both_err,have vs. be,/k/ --> /g/; kilt/guilt,Sean Connery,No,35
