"Filename","participant_id","block","Transcription","SentenceID","Keywords","NumKeywords","Keywords_perSet","PropKeywordsCorrect","NumKeywordsCorrect"
"the_report_said_that_he_admitted_to_have_seen_a_heel.wav","918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98","Transcription","the report said that he had seen a thiel","ENG_ERR_TRANSCRIPTION_BASELINE_S19","report, said, he, admitted, have, seen, heel",7,114,0.571428571428571,4
"the_report_said_that_he_admitted_to_have_seen_a_heel.wav","df4a2712733516b189b6a0ed945a84fa89965762a3eb30231041a5d278d1be9d","Transcription","the report admitted that he had a small heel.","ENG_ERR_TRANSCRIPTION_BASELINE_S19","report, said, he, admitted, have, seen, heel",7,114,0.571428571428571,4
"the_report_said_that_he_admitted_to_have_seen_a_heel.wav","d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6","Transcription","the report said that he admitted to have some mintue","ENG_ERR_TRANSCRIPTION_BASELINE_S19","report, said, he, admitted, have, seen, heel",7,114,0.714285714285714,5
"the_report_said_that_he_admitted_to_have_seen_a_heel.wav","f0e937c9ab0bcf1fc24a4d9666e415466d6c3456a92f16deffdebe0c9915ffb3","Transcription","the report said that he agreed to have seen","ENG_ERR_TRANSCRIPTION_BASELINE_S19","report, said, he, admitted, have, seen, heel",7,114,0.714285714285714,5
"she_admired_the_design_of_the_sturdy_booth.wav","918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98","Transcription","she admired the design of the shory boot","ENG_ERR_TRANSCRIPTION_BASELINE_S15","she, admired, design, sturdy, booth",5,114,0.6,3
"she_admired_the_design_of_the_sturdy_booth.wav","df4a2712733516b189b6a0ed945a84fa89965762a3eb30231041a5d278d1be9d","Transcription","she admired the design of surly girl.","ENG_ERR_TRANSCRIPTION_BASELINE_S15","she, admired, design, sturdy, booth",5,114,0.6,3
"she_admired_the_design_of_the_sturdy_booth.wav","f0e937c9ab0bcf1fc24a4d9666e415466d6c3456a92f16deffdebe0c9915ffb3","Transcription","she admired the design of the storybook","ENG_ERR_TRANSCRIPTION_BASELINE_S15","she, admired, design, sturdy, booth",5,114,0.6,3
"she_admired_the_design_of_the_sturdy_booth.wav","d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6","Transcription","she admired the design of the storybook","ENG_ERR_TRANSCRIPTION_BASELINE_S15","she, admired, design, sturdy, booth",5,114,0.6,3
"he_noticed_something_unusual_about_the_bean.wav","918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98","Transcription","he noticed something beautiful about the being","ENG_ERR_TRANSCRIPTION_BASELINE_S06","he, noticed, something, unusual, about, bean",6,114,0.666666666666667,4
"he_noticed_something_unusual_about_the_bean.wav","f0e937c9ab0bcf1fc24a4d9666e415466d6c3456a92f16deffdebe0c9915ffb3","Transcription","do you note something usual about the bee","ENG_ERR_TRANSCRIPTION_BASELINE_S06","he, noticed, something, unusual, about, bean",6,114,0.333333333333333,2
"he_noticed_something_unusual_about_the_bean.wav","df4a2712733516b189b6a0ed945a84fa89965762a3eb30231041a5d278d1be9d","Transcription","he noticed something unusual about the bean.","ENG_ERR_TRANSCRIPTION_BASELINE_S06","he, noticed, something, unusual, about, bean",6,114,1,6
"he_noticed_something_unusual_about_the_bean.wav","d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6","Transcription","he noticed something unusual about the bean","ENG_ERR_TRANSCRIPTION_BASELINE_S06","he, noticed, something, unusual, about, bean",6,114,1,6
"she_leaned_closer_to_look_at_the_cheek.wav","d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6","Transcription","she leaned closer to look at the cheese","ENG_ERR_TRANSCRIPTION_BASELINE_S16","she, leaned, closer, look, cheek",5,114,0.8,4
"she_leaned_closer_to_look_at_the_cheek.wav","f0e937c9ab0bcf1fc24a4d9666e415466d6c3456a92f16deffdebe0c9915ffb3","Transcription","killy closer to look at the chip","ENG_ERR_TRANSCRIPTION_BASELINE_S16","she, leaned, closer, look, cheek",5,114,0.4,2
"she_leaned_closer_to_look_at_the_cheek.wav","918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98","Transcription","she leaned closer to look at the sheep","ENG_ERR_TRANSCRIPTION_BASELINE_S16","she, leaned, closer, look, cheek",5,114,0.8,4
"she_leaned_closer_to_look_at_the_cheek.wav","df4a2712733516b189b6a0ed945a84fa89965762a3eb30231041a5d278d1be9d","Transcription","she leaned closer to look at the cheek.","ENG_ERR_TRANSCRIPTION_BASELINE_S16","she, leaned, closer, look, cheek",5,114,1,5
"she_accidentally_let_herself_fall_sleep.wav","df4a2712733516b189b6a0ed945a84fa89965762a3eb30231041a5d278d1be9d","Transcription","she accidentally left her soap while sleep.","ENG_ERR_TRANSCRIPTION_BASELINE_S14","she, accidentally, let, herself, fall, sleep",6,114,0.5,3
"she_accidentally_let_herself_fall_sleep.wav","d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6","Transcription","she accidentally let herself fall asleep","ENG_ERR_TRANSCRIPTION_BASELINE_S14","she, accidentally, let, herself, fall, sleep",6,114,0.833333333333333,5
"she_accidentally_let_herself_fall_sleep.wav","f0e937c9ab0bcf1fc24a4d9666e415466d6c3456a92f16deffdebe0c9915ffb3","Transcription","she accidently let herself fall asleep","ENG_ERR_TRANSCRIPTION_BASELINE_S14","she, accidentally, let, herself, fall, sleep",6,114,0.666666666666667,4
"she_accidentally_let_herself_fall_sleep.wav","918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98","Transcription","she exceedently let her self fall sleep","ENG_ERR_TRANSCRIPTION_BASELINE_S14","she, accidentally, let, herself, fall, sleep",6,114,0.666666666666667,4
