SentenceID,SentenceSet,Sentence,Keywords,NumKeywords,Keywords_perSet
ENG_ERR_TRANSCRIPTION_BASELINE_S01,set1,after_the_barbecue_yesterday_she_was_left_to_weep.wav,"after, barbecue, yesterday, she, was, left, weep",7,114
ENG_ERR_TRANSCRIPTION_BASELINE_S02,set1,dad_told_me_that_i_should_not_miss_the_big_sloth.wav,"dad, told, me, should, not, miss, big, sloth",8,114
ENG_ERR_TRANSCRIPTION_BASELINE_S03,set1,everyone_commented_on_the_unusual_feet.wav,"everyone, commented, unusual, feet",4,114
ENG_ERR_TRANSCRIPTION_BASELINE_S04,set1,for_her_own_benefit_she_decided_to_consume_the_peel.wav,"her, benefit, she, decided, consume, peel",6,114
ENG_ERR_TRANSCRIPTION_BASELINE_S05,set1,grandma_told_us_last_monday_that_there_is_a_rip.wav,"grandma, told, us, last, monday, there, rip",7,114
ENG_ERR_TRANSCRIPTION_BASELINE_S06,set1,he_noticed_something_unusual_about_the_bean.wav,"he, noticed, something, unusual, about, bean",6,114
ENG_ERR_TRANSCRIPTION_BASELINE_S07,set1,he_noticed_the_weight_of_the_lead.wav,"he, noticed, weight, lead",4,114
ENG_ERR_TRANSCRIPTION_BASELINE_S08,set1,his_finger_was_wet_from_a_leak.wav,"his, finger, was, wet, from, leak",6,114
ENG_ERR_TRANSCRIPTION_BASELINE_S09,set1,i_am_one_hundred_percent_sure_that_i_felt_the_heat.wav,"one, hundred, percent, sure, felt, heat",6,114
ENG_ERR_TRANSCRIPTION_BASELINE_S10,set1,i_found_it_amusing_that_he_was_scared_of_the_wrath.wav,"found, amusing, he, scared, wrath",5,114
ENG_ERR_TRANSCRIPTION_BASELINE_S11,set1,i_told_my_colleague_that_something_is_wrong_with_the_math.wav,"told, my, colleague, something, wrong, with, math",7,114
ENG_ERR_TRANSCRIPTION_BASELINE_S12,set1,it_is_apparent_that_she_was_influenced_by_his_greed.wav,"apparent, she, influenced, his, greed",5,114
ENG_ERR_TRANSCRIPTION_BASELINE_S13,set1,it_is_obvious_to_us_that_you_need_a_bath.wav,"obvious, us, you, need, bath",5,114
ENG_ERR_TRANSCRIPTION_BASELINE_S14,set1,she_accidentally_let_herself_fall_sleep.wav,"she, accidentally, let, herself, fall, sleep",6,114
ENG_ERR_TRANSCRIPTION_BASELINE_S15,set1,she_admired_the_design_of_the_sturdy_booth.wav,"she, admired, design, sturdy, booth",5,114
ENG_ERR_TRANSCRIPTION_BASELINE_S16,set1,she_leaned_closer_to_look_at_the_cheek.wav,"she, leaned, closer, look, cheek",5,114
ENG_ERR_TRANSCRIPTION_BASELINE_S17,set1,the_cloud_in_the_sky_appears_to_me_as_a_ship.wav,"cloud, sky, appears, as, ship",5,114
ENG_ERR_TRANSCRIPTION_BASELINE_S18,set1,the_man_noticed_a_small_issue_with_the_theme.wav,"man, noticed, small, issue, with, theme",6,114
ENG_ERR_TRANSCRIPTION_BASELINE_S19,set1,the_report_said_that_he_admitted_to_have_seen_a_heel.wav,"report, said, he, admitted, have, seen, heel",7,114
ENG_ERR_TRANSCRIPTION_BASELINE_S20,set1,they_considered_the_value_of_the_bead.wav,"they, considered, value, bead",4,114
