participant_num,participant_id,response_value,question,stim_type,condition,nonphon_err_details,phon_err_details,answer,err_reported,err_reported_attempt,err_type_response,no_err_response,comments,coder
1,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,"The question needs to be CORRECTED (Select this if you spot an error, even if you don’t know the answer).",what_is_the_largest_plant_in_the_solar_system_fill_31.wav,att_check_err,NA,NA,NA,Jupiter (planet),y,first,acheckp,,attention check passed (8/8 correct),JB_1204
1,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,"I heard, What is the largest plant in the solar system. Should be, what is the largest PLANET in the solar system.
 

 I think the answer is Jupiter.",what_is_the_largest_plant_in_the_solar_system_fill_31.wav,att_check_err,NA,NA,NA,Jupiter (planet),,,,,,
1,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,I’m good — skip to the next question,what_is_the_largest_plant_in_the_solar_system_fill_31.wav,att_check_err,NA,NA,NA,Jupiter (planet),s,secsame,,,,JB_1204
1,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,NA,what_is_the_largest_plant_in_the_solar_system_fill_31.wav,att_check_err,NA,NA,NA,Jupiter (planet),,,,,,
1,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,The question does NOT need any corrections.,what_state_is_los_angeles_located_in_fill_26.wav,att_check_good,NA,NA,NA,California,nans,first,,a,,JB_1204
1,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,California,what_state_is_los_angeles_located_in_fill_26.wav,att_check_good,NA,NA,NA,California,,,,,,
1,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,I’m good — skip to the next question,what_state_is_los_angeles_located_in_fill_26.wav,att_check_good,NA,NA,NA,California,s,secsame,,,,JB_1204
1,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,NA,what_state_is_los_angeles_located_in_fill_26.wav,att_check_good,NA,NA,NA,California,,,,,,
1,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,"The question needs to be CORRECTED (Select this if you spot an error, even if you don’t know the answer).",how_many_embers_were_in_the_beatles_the_british_rock_band_fill_32.wav,att_check_err,NA,NA,NA,four (members),y,first,acheckp,,,JB_1204
1,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,"How many riddles were in the bittles, the british rock band.
 

 Should be how many MEMBERS were in the BEATLES.
 

 I don't know the answer.",how_many_embers_were_in_the_beatles_the_british_rock_band_fill_32.wav,att_check_err,NA,NA,NA,four (members),,,,,,
