group_id,participant_id,response_value,stimuli_presented,stimulus_files_presented,block,item_base,item_type,condition,nonphon_err_type,phon_err_details,answer,second_attempt_used,trial_num_sequential,participant_num
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,That told me that i shoul not thaveeslov,Transcription_2,dad_told_me_that_i_should_not_miss_the_big_sloth.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,1,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,everyone commented on the unusual feet,Transcription_3,everyone_commented_on_the_unusual_feet.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,2,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,after the barbeque jess said she was left to weep,Transcription_1,after_the_barbecue_yesterday_she_was_left_to_weep.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,3,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,she accidently let herself fall sleep,Transcription_14,she_accidentally_let_herself_fall_sleep.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,4,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,for her own benefit she decided to consume the peel,Transcription_4,for_her_own_benefit_she_decided_to_consume_the_peel.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,5,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,they considered the value of the bee,Transcription_20,they_considered_the_value_of_the_bead.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,6,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,I found it amusing that he was ascared of the rot,Transcription_10,i_found_it_amusing_that_he_was_scared_of_the_wrath.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,7,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,she admired the design of the solumvug,Transcription_15,she_admired_the_design_of_the_sturdy_booth.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,8,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,he nawticed the weight of the leaf,Transcription_7,he_noticed_the_weight_of_the_lead.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,9,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,i told my colleague that something is wrong with the map,Transcription_11,i_told_my_colleague_that_something_is_wrong_with_the_math.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,10,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,the victor said that he admitted he had seen a heel,Transcription_19,the_report_said_that_he_admitted_to_have_seen_a_heel.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,11,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,it is obvious to us that you need a bag,Transcription_13,it_is_obvious_to_us_that_you_need_a_bath.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,12,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,i am 100 percent sure that i felt the heat,Transcription_9,i_am_one_hundred_percent_sure_that_i_felt_the_heat.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,13,1
Group_3,06549475e28535bf090e5c27b3685fb12c9426f8fc1e599da8d892c13bde7a32,she leaned closer to look at the cheap,Transcription_16,she_leaned_closer_to_look_at_the_cheek.wav,Transcription,NA,other_non_err_detection,NA,NA,NA,NA,No,14,1
