group_id,participant_id,response_value,stimuli_presented,stimulus_files_presented,block,item_base,item_type,condition,nonphon_err_type,phon_err_details,answer,second_attempt_used,trial_num_sequential
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,"After the barbecue yesterday, she was left to weep",Transcription_1,after_the_barbecue_yesterday_she_was_left_to_weep.wav,Transcription,NA,other_non_trivia,NA,NA,NA,NA,No,1
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,I told my colleague that something is wrong with the map.,Transcription_11,i_told_my_colleague_that_something_is_wrong_with_the_math.wav,Transcription,NA,other_non_trivia,NA,NA,NA,NA,No,2
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,Grandma told us last Monday that things have raved.,Transcription_5,grandma_told_us_last_monday_that_there_is_a_rip.wav,Transcription,NA,other_non_trivia,NA,NA,NA,NA,No,3
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,The men notice a small issue with the thing.,Transcription_18,the_man_noticed_a_small_issue_with_the_theme.wav,Transcription,NA,other_non_trivia,NA,NA,NA,NA,No,4
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,She admired the design of the stolen good.,Transcription_15,she_admired_the_design_of_the_sturdy_booth.wav,Transcription,NA,other_non_trivia,NA,NA,NA,NA,No,5
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,They considered the value of the bid.,Transcription_20,they_considered_the_value_of_the_bead.wav,Transcription,NA,other_non_trivia,NA,NA,NA,NA,No,6
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,She leaned closer to look at the chip.,Transcription_16,she_leaned_closer_to_look_at_the_cheek.wav,Transcription,NA,other_non_trivia,NA,NA,NA,NA,No,7
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,The report said that he admitted to have some ideal.,Transcription_19,the_report_said_that_he_admitted_to_have_seen_a_heel.wav,Transcription,NA,other_non_trivia,NA,NA,NA,NA,No,8
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,It is obvious to us that you need a bap.,Transcription_13,it_is_obvious_to_us_that_you_need_a_bath.wav,Transcription,NA,other_non_trivia,NA,NA,NA,NA,No,9
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,The cloud in the sky appears to me as a ship.,Transcription_17,the_cloud_in_the_sky_appears_to_me_as_a_ship.wav,Transcription,NA,other_non_trivia,NA,NA,NA,NA,No,10
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,He noticed the weight of the lead.,Transcription_7,he_noticed_the_weight_of_the_lead.wav,Transcription,NA,other_non_trivia,NA,NA,NA,NA,No,11
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,Everyone commented on the unusual feat.,Transcription_3,everyone_commented_on_the_unusual_feet.wav,Transcription,NA,other_non_trivia,NA,NA,NA,NA,No,12
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,I found it amusing that he was as scared of the vlah.,Transcription_10,i_found_it_amusing_that_he_was_scared_of_the_wrath.wav,Transcription,NA,other_non_trivia,NA,NA,NA,NA,No,13
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,"For her own benefit, she decided to consume the peel.",Transcription_4,for_her_own_benefit_she_decided_to_consume_the_peel.wav,Transcription,NA,other_non_trivia,NA,NA,NA,NA,No,14
default,1c06ecbba73988e7ff38a0c41f40584e9c83811b795b884f78b6b18494487300,I am one-hundred percent sure that I felt the heat.,Transcription_9,i_am_one_hundred_percent_sure_that_i_felt_the_heat.wav,Transcription,NA,other_non_trivia,NA,NA,NA,NA,No,15
