ID,type,topic,words_cor,nonphon_err_type,phon_err_type,phon_syll_pos,word_pairs,A_Correct,B_PhonErr,C_NonPhonErr,D_BothErr,Answer
targ_01,target,world knowledge,15,make vs. other verb,/ɪ/ -->  /i/,nucleus,will/wheel,For what pink ice cream flavor will companies do their best to use real fruit?,For what pink ice cream flavor WHEEL companies do their best to use real fruit?,For what pink ice cream flavor will companies make their best to use real fruit?,For what pink ice cream flavor WHEEL companies make their best to use real fruit?,strawberry
targ_02,target,world knowledge,15,infinitive vs. participle,/ʃ/ --> /s/,coda,clash/class,What term refers to armored men who enjoyed carrying medieval swords that clash in combat?,What term refers to armored men who enjoyed carrying medieval swords that CLASS in combat?,What term refers to armored men who enjoyed to carry medieval swords that clash in combat?,What term refers to armored men who enjoyed to carry medieval swords that CLASS in combat?,knights
targ_03,target,pop culture,18,have vs. be,/k/ --> /g/,onset,kilt/guilt,"Which Scottish actor first played James Bond, wearing kilts to red carpets when he was 32 years old?","Which Scottish actor first played James Bond, wearing GUILTS to red carpets when he was 32 years old?","Which Scottish actor first played James Bond, wearing kilts to red carpets when he had 32 years old?","Which Scottish actor first played James Bond, wearing GUILTS to red carpets when he had 32 years old?",Sean Connery
targ_04,target,US history,13,no aux verbs in questions (lack of do support),/v/ --> /b/,onset,very/berry,What did Neil Armstrong say during his very first steps on the moon?,What did Neil Armstrong say during his BERRY first steps on the moon?,What Neil Armstrong say during his very first steps on the moon?,What Neil Armstrong say during his BERRY first steps on the moon?,"""That's one small step for man, one giant leap for mankind."""
targ_05,target,science,13,expletive 'it' dropping,/ʊ/ --> /u/,nucleus,could/cooed,What kind of weather could occur when it is raining and below freezing?,What kind of weather COOED/COOLED occur when it is raining and below freezing?,What kind of weather could occur when is raining and below freezing?,What kind of weather COOED/COOLED occur when is raining and below freezing?,snow
targ_06,target,world knowledge,14,adj/noun order,/θ/ --> /t/,coda,cloth/clot,"How many legs does a Canadian garden spider, whose silk can make cloth, have?","How many legs does a Canadian garden spider, whose silk can make CLOT, have?","How many legs does a garden spider Canadian, whose silk can make cloth, have?","How many legs does a garden spider Canadian, whose silk can make CLOT, have?",eight
targ_07,target,world knowledge,13,adj/noun order,/ɪ/ -->  /i/,nucleus,sit/seat,What children's game makes people sit down quickly when the loud music stops?,What children's game makes people SEAT down quickly when the loud music stops?,What children's game makes people sit down quickly when the music loud stops?,What children's game makes people SEAT down quickly when the music loud stops?,musical chairs
targ_08,target,world knowledge,15,expletive 'it' dropping,/ʃ/ --> /s/,coda,Irish/iris,"Because it is important to honor the Irish saint, what holiday occurs on March 17th?","Because it is important to honor the IRIS saint, what holiday occurs on March 17th?","Because is important to honor the Irish saint, what holiday occurs on March 17th?","Because is important to honor the IRIS saint, what holiday occurs on March 17th?",St. Patrick's Day
targ_09,target,world knowledge,17,make vs. other verb,/k/ --> /g/,onset,come/gum,"If laundry service will come in five days and today's Thursday, when are they doing laundry next?","If laundry service will GUM in five days and today's Thursday, when are they doing laundry next?","If laundry service will come in five days and today's Thursday, when are they making laundry next?","If laundry service will GUM in five days and today's Thursday, when are they making laundry next?",Tuesday
targ_10,target,US history,15,infinitive vs. participle,/v/ --> /b/,onset,vote/boat,"Who did Americans vote for to be their first president, who avoided serving three terms?","Who did Americans BOAT for to be their first president, who avoided serving three terms?","Who did Americans vote for to be their first president, who avoided to serve three terms?","Who did Americans BOAT for to be their first president, who avoided to serve three terms?",George Washington
targ_11,target,world knowledge,15,have vs. be,/ʊ/ --> /u/,nucleus,pulls/pools,"What colors can be on a traffic light, which often senses when cars pull up?","What colors can be on a traffic light, which often senses when cars POOL up?","What colors can have on a traffic light, which often senses when cars pull up?","What colors can have on a traffic light, which often senses when cars POOL up?",green
targ_12,target,geography,15,no aux verbs in questions (lack of do support),/θ/ --> /t/,coda,path/pat,"If you're on a path from California to Hawaii, which ocean do you go through?","If you're on a PAT from California to Hawaii, which ocean do you go through?","If you're on a path from California to Hawaii, which ocean you go through?","If you're on a PAT from California to Hawaii, which ocean you go through?",Pacific Ocean
targ_13,target,world knowledge,9,no aux verbs in questions (lack of do support),/ɪ/ -->  /i/,nucleus,knit/neat,What supplies do you need to knit a scarf?,What supplies do you need to NEAT a scarf?,What supplies you need to knit a scarf?,What supplies you need to NEAT a scarf?,needles and yarn
targ_14,target,geography,15,make vs. other verb,/ʃ/ --> /s/,coda,rushed/rust,What city have people rushed to tour to see where the US government does business?,What city have people RUST to tour to see where the US government does business?,What city have people rushed to tour to see where the US government makes business?,What city have people RUST to tour to see where the US government makes business?,Washington D.C.
targ_15,target,world knowledge,14,infinitive vs. participle,/k/ --> /g/,onset,cane/gain,"What colors make up a traditional candy cane, which people enjoy eating during Christmas?","What colors make up a traditional candy GAIN, which people enjoy eating during Christmas?","What colors make up a traditional candy cane, which people enjoy to eat during Christmas?","What colors make up a traditional candy GAIN, which people enjoy to eat during Christmas?",red and white
targ_16,target,world knowledge,15,expletive 'it' dropping,/v/ --> /b/,onset,valid/ballad,Where do people get driver's licenses since it is required as valid ID to drive?,Where do people get driver's licenses since it is required as BALLAD ID to drive?,Where do people get driver's licenses since is required as valid ID to drive?,Where do people get driver's licenses since is required as BALLAD ID to drive?,DMV
targ_17,target,world knowledge,15,adj/noun order,/ʊ/ --> /u/,nucleus,would/wooed,"How many days would my tandem bike be gone, if someone borrows it for July?","How many days WOOED/WOOLED my tandem bike be gone, if someone borrows it for July?","How many days would my bike tandem be gone, if someone borrows it for July?","How many days WOOED/WOOLED my bike tandem be gone, if someone borrows it for July?",thirty-one days
targ_18,target,world knowledge,15,have vs. be,/θ/ --> /t/,coda,both/boat,"When you are hot, what device measures body temperature in both Celsius and Fahrenheit?","When you are hot, what device measures body temperature in BOAT Celsius and Fahrenheit?","When you have hot, what device measures body temperature in both Celsius and Fahrenheit?","When you have hot, what device measures body temperature in BOAT Celsius and Fahrenheit?",thermometer
targ_19,target,science,15,expletive 'it' dropping,/ɪ/ -->  /i/,nucleus,still/steal,What big star in our solar system can still be visible when it is cloudy?,What big star in our solar system can STEAL be visible when it is cloudy?,What big star in our solar system can still be visible when is cloudy?,What big star in our solar system can STEAL be visible when is cloudy?,the Sun
targ_20,target,world knowledge,15,have vs. be,/ʃ/ --> /s/,coda,plush/plus,What popular US chain provides a Happy Meal toy or plush when kids are hungry?,What popular US chain provides a Happy Meal toy or PLUS when kids are hungry?,What popular US chain provides a Happy Meal toy or plush when kids have hungry?,What popular US chain provides a Happy Meal toy or PLUS when kids have hungry?,McDonald's
targ_21,target,pop culture,18,no aux verbs in questions (lack of do support),/k/ --> /g/,onset,cot/got,"In ""The Lion King,"" who does Nala talk to and is laying in a cot after they've reunited?","In ""The Lion King,"" who does Nala talk to and is laying in a GOT after they've reunited?","In ""The Lion King,"" who Nala talk to and is laying in a cot after they've reunited?","In ""The Lion King,"" who Nala talk to and is laying in a GOT after they've reunited?",Simba
targ_22,target,math,15,adj/noun order,/v/ --> /b/,onset,vent/bent,"If a hardworking janitor cleaned a vent in five minutes, how many seconds is that?","If a hardworking janitor cleaned a BENT in five minutes, how many seconds is that?","If a janitor hardworking cleaned a vent in five minutes, how many seconds is that?","If a janitor hardworking cleaned a BENT in five minutes, how many seconds is that?",eight
targ_23,target,pop culture,15,make vs. other verb,/ʊ/ --> /u/,nucleus,full/fool,"What company created the Macbook, a device full of features to help students do homework?","What company created the Macbook, a device FOOL of features to help students do homework?","What company created the Macbook, a device full of features to help students make homework?","What company created the Macbook, a device FOOL of features to help students make homework?",Apple
targ_24,target,math,15,infinitive vs. participle,/θ/ --> /t/,coda,fourth/fort,"If I consider leaving work after the fourth hour, how many minutes would that be?","If I consider leaving work after the FORT hour, how many minutes would that be?","If I consider to leave work after the fourth hour, how many minutes would that be?","If I consider to leave work after the FORT hour, how many minutes would that be?",two hundred and forty
fill_01,filler_other,,12,,,,,What letter in the Latin alphabet corresponds to the Greek letter alpha?,,,,a
fill_02,filler_other,,15,,,,,What organ is often associated with being eaten by rotting-flesh monsters also known as zombies?,,,,the brain
fill_03,filler_other,,15,,,,,Which British celebrity judge often harshly critiqued contestants on the nationwide singing contest American Idol?,,,,Simon Cowell
fill_04,filler_other,,15,,,,,Which cartoon character works at the Krusty Krab and is best friends with Patrick Star?,,,,Spongebob
fill_05,filler_other,,15,,,,,Which body part did Van Gogh allegedly cut off after an argument with his friend? ,,,,ear
