participant_num,participant_id,response_value,question ,stim_type,condition,nonphon_err_details,phon_err_details,answer,err_reported,err_reported_attempt,err_type_response,no_err_response,comments,coder
31,9f1188c9df59d13665a7f42839ae3153a0a9f386ccf575699b3dfe3233f2013a,"The question needs to be CORRECTED (Select this if you spot an error, even if you don’t know the answer).",what_is_the_largest_plant_in_the_solar_system_fill_31.wav,att_check_err,NA,NA,NA,Jupiter (planet),y,first,twice,,5/8 (failed),HH 12/03
31,9f1188c9df59d13665a7f42839ae3153a0a9f386ccf575699b3dfe3233f2013a,I HEARD PLANT INSTED OF PLANET,what_is_the_largest_plant_in_the_solar_system_fill_31.wav,att_check_err,NA,NA,NA,Jupiter (planet),,,,,,
31,9f1188c9df59d13665a7f42839ae3153a0a9f386ccf575699b3dfe3233f2013a,"The question needs to be CORRECTED (Select this if you spot an error, even if you don’t know the answer).",what_is_the_largest_plant_in_the_solar_system_fill_31.wav,att_check_err,NA,NA,NA,Jupiter (planet),y,secsame,acheckp,,,HH 12/03
31,9f1188c9df59d13665a7f42839ae3153a0a9f386ccf575699b3dfe3233f2013a,PLANET INSTEAD OF PLANT,what_is_the_largest_plant_in_the_solar_system_fill_31.wav,att_check_err,NA,NA,NA,Jupiter (planet),,,,,,
31,9f1188c9df59d13665a7f42839ae3153a0a9f386ccf575699b3dfe3233f2013a,The question does NOT need any corrections.,what_color_is_a_typical_school_bus_fill_28.wav,att_check_good,NA,NA,NA,yellow,nans,first,,twice,,HH 12/03
31,9f1188c9df59d13665a7f42839ae3153a0a9f386ccf575699b3dfe3233f2013a,YELLOW,what_color_is_a_typical_school_bus_fill_28.wav,att_check_good,NA,NA,NA,yellow,,,,,,
31,9f1188c9df59d13665a7f42839ae3153a0a9f386ccf575699b3dfe3233f2013a,The question does NOT need any corrections.,what_color_is_a_typical_school_bus_fill_28.wav,att_check_good,NA,NA,NA,yellow,nans,secsame,,a,acheckp,HH 12/03
31,9f1188c9df59d13665a7f42839ae3153a0a9f386ccf575699b3dfe3233f2013a,YELLOW,what_color_is_a_typical_school_bus_fill_28.wav,att_check_good,NA,NA,NA,yellow,,,,,,
31,9f1188c9df59d13665a7f42839ae3153a0a9f386ccf575699b3dfe3233f2013a,The question does NOT need any corrections.,what_insect_undergoes_a_process_of_change_to_turn_into_a_butterfy_fill_30.wav,att_check_err,NA,NA,NA,caterpillar (butterfly),nans,first,,w,acheckf,HH 12/03
31,9f1188c9df59d13665a7f42839ae3153a0a9f386ccf575699b3dfe3233f2013a,WORM,what_insect_undergoes_a_process_of_change_to_turn_into_a_butterfy_fill_30.wav,att_check_err,NA,NA,NA,caterpillar (butterfly),,,,,,
31,9f1188c9df59d13665a7f42839ae3153a0a9f386ccf575699b3dfe3233f2013a,I’m good — skip to the next question,what_insect_undergoes_a_process_of_change_to_turn_into_a_butterfy_fill_30.wav,att_check_err,NA,NA,NA,caterpillar (butterfly),s,secsame,,,,HH 12/03
31,9f1188c9df59d13665a7f42839ae3153a0a9f386ccf575699b3dfe3233f2013a,NA,what_insect_undergoes_a_process_of_change_to_turn_into_a_butterfy_fill_30.wav,att_check_err,NA,NA,NA,caterpillar (butterfly),,,,,,
31,9f1188c9df59d13665a7f42839ae3153a0a9f386ccf575699b3dfe3233f2013a,The question does NOT need any corrections.,what_state_is_los_angeles_located_in_fill_26.wav,att_check_good,NA,NA,NA,California,nans,first,,a,acheckp,HH 12/03
31,9f1188c9df59d13665a7f42839ae3153a0a9f386ccf575699b3dfe3233f2013a,CALIFORNIA,what_state_is_los_angeles_located_in_fill_26.wav,att_check_good,NA,NA,NA,California,,,,,,
31,9f1188c9df59d13665a7f42839ae3153a0a9f386ccf575699b3dfe3233f2013a,I’m good — skip to the next question,what_state_is_los_angeles_located_in_fill_26.wav,att_check_good,NA,NA,NA,California,s,secsame,,,,HH 12/03
