group_id,participant_id,response_value,stimuli_presented,stimulus_files_presented,block,item_base,item_type,condition,nonphon_err_type,phon_err_details,answer,second_attempt_used,trial_num_sequential
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,"The question needs to be CORRECTED (Select this if you spot an error, even if you don’t know the answer).",fill_31_new,what_is_the_largest_plant_in_the_solar_system_fill_31.wav,Error_Detection,fill_31,att_check_err,NA,NA,NA,Jupiter (planet),No,31
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,Plant should be changed to planet and the answer is Jupiter,fill_31_new,what_is_the_largest_plant_in_the_solar_system_fill_31.wav,Error_Detection,fill_31,att_check_err,NA,NA,NA,Jupiter (planet),No,31
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,I’m good — skip to the next question,Second_attempt|fill_31_new,what_is_the_largest_plant_in_the_solar_system_fill_31.wav,Error_Detection,fill_31,att_check_err,NA,NA,NA,Jupiter (planet),No,31
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,NA,Second_attempt|fill_31_new,what_is_the_largest_plant_in_the_solar_system_fill_31.wav,Error_Detection,fill_31,att_check_err,NA,NA,NA,Jupiter (planet),No,31
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,The question does NOT need any corrections.,fill_25_new,how_many_legs_does_a_dog_normally_have_fill_25.wav,Error_Detection,fill_25,att_check_good,NA,NA,NA,four,No,25
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,Four,fill_25_new,how_many_legs_does_a_dog_normally_have_fill_25.wav,Error_Detection,fill_25,att_check_good,NA,NA,NA,four,No,25
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,I’m good — skip to the next question,Second_attempt|fill_25_new,how_many_legs_does_a_dog_normally_have_fill_25.wav,Error_Detection,fill_25,att_check_good,NA,NA,NA,four,No,25
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,NA,Second_attempt|fill_25_new,how_many_legs_does_a_dog_normally_have_fill_25.wav,Error_Detection,fill_25,att_check_good,NA,NA,NA,four,No,25
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,"The question needs to be CORRECTED (Select this if you spot an error, even if you don’t know the answer).",fill_30_new,what_insect_undergoes_a_process_of_change_to_turn_into_a_butterfy_fill_30.wav,Error_Detection,fill_30,att_check_err,NA,NA,NA,caterpillar (butterfly),No,30
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,Should be butterfly instead of butterfy also caterpillar is the answer.,fill_30_new,what_insect_undergoes_a_process_of_change_to_turn_into_a_butterfy_fill_30.wav,Error_Detection,fill_30,att_check_err,NA,NA,NA,caterpillar (butterfly),No,30
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,I’m good — skip to the next question,Second_attempt|fill_30_new,what_insect_undergoes_a_process_of_change_to_turn_into_a_butterfy_fill_30.wav,Error_Detection,fill_30,att_check_err,NA,NA,NA,caterpillar (butterfly),No,30
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,NA,Second_attempt|fill_30_new,what_insect_undergoes_a_process_of_change_to_turn_into_a_butterfy_fill_30.wav,Error_Detection,fill_30,att_check_err,NA,NA,NA,caterpillar (butterfly),No,30
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,"The question needs to be CORRECTED (Select this if you spot an error, even if you don’t know the answer).",fill_32_new,how_many_embers_were_in_the_beatles_the_british_rock_band_fill_32.wav,Error_Detection,fill_32,att_check_err,NA,NA,NA,four (members),No,32
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,should be members instead of ambers and the answer is 4,fill_32_new,how_many_embers_were_in_the_beatles_the_british_rock_band_fill_32.wav,Error_Detection,fill_32,att_check_err,NA,NA,NA,four (members),No,32
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,I’m good — skip to the next question,Second_attempt|fill_32_new,how_many_embers_were_in_the_beatles_the_british_rock_band_fill_32.wav,Error_Detection,fill_32,att_check_err,NA,NA,NA,four (members),No,32
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,NA,Second_attempt|fill_32_new,how_many_embers_were_in_the_beatles_the_british_rock_band_fill_32.wav,Error_Detection,fill_32,att_check_err,NA,NA,NA,four (members),No,32
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,The question does NOT need any corrections.,fill_28_new,what_color_is_a_typical_school_bus_fill_28.wav,Error_Detection,fill_28,att_check_good,NA,NA,NA,yellow,No,28
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,Yellow,fill_28_new,what_color_is_a_typical_school_bus_fill_28.wav,Error_Detection,fill_28,att_check_good,NA,NA,NA,yellow,No,28
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,I’m good — skip to the next question,Second_attempt|fill_28_new,what_color_is_a_typical_school_bus_fill_28.wav,Error_Detection,fill_28,att_check_good,NA,NA,NA,yellow,No,28
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,NA,Second_attempt|fill_28_new,what_color_is_a_typical_school_bus_fill_28.wav,Error_Detection,fill_28,att_check_good,NA,NA,NA,yellow,No,28
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,The question does NOT need any corrections.,fill_27_new,what_day_of_the_week_comes_after_monday_fill_27.wav,Error_Detection,fill_27,att_check_good,NA,NA,NA,Tuesday,No,27
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,Tuesday,fill_27_new,what_day_of_the_week_comes_after_monday_fill_27.wav,Error_Detection,fill_27,att_check_good,NA,NA,NA,Tuesday,No,27
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,I’m good — skip to the next question,Second_attempt|fill_27_new,what_day_of_the_week_comes_after_monday_fill_27.wav,Error_Detection,fill_27,att_check_good,NA,NA,NA,Tuesday,No,27
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,NA,Second_attempt|fill_27_new,what_day_of_the_week_comes_after_monday_fill_27.wav,Error_Detection,fill_27,att_check_good,NA,NA,NA,Tuesday,No,27
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,"The question needs to be CORRECTED (Select this if you spot an error, even if you don’t know the answer).",fill_29_new,in_the_cycle_of_seasons_what_season_comes_after_dinter_fill_29.wav,Error_Detection,fill_29,att_check_err,NA,NA,NA,"Spring (Winter, sound sub that's not related)",No,29
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,Winter instead of Dinter and the answer is Spring,fill_29_new,in_the_cycle_of_seasons_what_season_comes_after_dinter_fill_29.wav,Error_Detection,fill_29,att_check_err,NA,NA,NA,"Spring (Winter, sound sub that's not related)",No,29
Group_4,1910d73d8c7614d915645cfbba67000570e91133d6a2445c4df93749096aadf4,I’m good — skip to the next question,Second_attempt|fill_29_new,in_the_cycle_of_seasons_what_season_comes_after_dinter_fill_29.wav,Error_Detection,fill_29,att_check_err,NA,NA,NA,"Spring (Winter, sound sub that's not related)",No,29
